#,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-02-24T22:19:28', checksum=1509732466, investigation_time=1.0, mag_bin_edges=[4.0, 5.0, 6.0, 7.0, 8.0, 9.0], dist_bin_edges=[0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0, 210.0, 220.0, 230.0, 240.0, 250.0, 260.0, 270.0, 280.0, 290.0, 300.0, 310.0, 320.0, 330.0, 340.0, 350.0, 360.0, 370.0, 380.0, 390.0, 400.0], lon_bin_edges=[-13.420927460406109, -8.9117, -4.402472539593891], lat_bin_edges=[33.48602, 37.0833, 40.68058], eps_bin_edges=[-5.0, -1.6666666666666665, 1.666666666666667, 5.0], tectonic_region_types=['Shallow Inland', 'Shallow offshore'], lon=-8.9117, lat=37.0833"
imt,iml,poe,mag,dist,mean
PGA,1.81712E-01,2.10500E-03,5.50000E+00,1.35000E+02,6.13311E-07
PGA,1.81712E-01,2.10500E-03,5.50000E+00,1.45000E+02,2.31541E-07
PGA,1.81712E-01,2.10500E-03,5.50000E+00,1.55000E+02,2.99547E-07
PGA,1.81712E-01,2.10500E-03,5.50000E+00,1.65000E+02,2.77199E-07
PGA,1.81712E-01,2.10500E-03,5.50000E+00,1.75000E+02,6.25753E-08
PGA,1.81712E-01,2.10500E-03,5.50000E+00,1.85000E+02,7.66918E-08
PGA,1.81712E-01,2.10500E-03,5.50000E+00,1.95000E+02,1.78626E-07
PGA,1.81712E-01,2.10500E-03,5.50000E+00,2.05000E+02,5.92508E-08
PGA,1.81712E-01,2.10500E-03,5.50000E+00,2.15000E+02,6.03621E-09
PGA,1.81712E-01,2.10500E-03,5.50000E+00,2.25000E+02,8.14337E-08
PGA,1.81712E-01,2.10500E-03,5.50000E+00,2.35000E+02,2.09573E-08
PGA,1.81712E-01,2.10500E-03,5.50000E+00,2.45000E+02,1.41943E-08
PGA,1.81712E-01,2.10500E-03,5.50000E+00,2.55000E+02,1.57816E-08
PGA,1.81712E-01,2.10500E-03,5.50000E+00,2.65000E+02,1.79440E-08
PGA,1.81712E-01,2.10500E-03,5.50000E+00,2.75000E+02,6.77875E-09
PGA,1.81712E-01,2.10500E-03,5.50000E+00,2.85000E+02,5.64727E-09
PGA,1.81712E-01,2.10500E-03,5.50000E+00,2.95000E+02,6.20323E-09
PGA,1.81712E-01,2.10500E-03,5.50000E+00,3.05000E+02,3.64815E-09
PGA,1.81712E-01,2.10500E-03,5.50000E+00,3.15000E+02,1.60170E-09
PGA,1.81712E-01,2.10500E-03,5.50000E+00,3.25000E+02,1.98727E-09
